,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
102,Boal Madeira,D'Oliveiras,1977,4.4,269.96,Madeira,Portugal,Verdelho,3.9585782999999997,4.737891,4.794976,,
103,Very Old Single Harvest Port,Taylor's,1968,4.7,269.99,Porto,Portugal,Touriga Nacional,,,,,
104,Vintage Port,W. & J. Graham's,1970,4.6,275.0,Porto,Portugal,Touriga Nacional,,,,,
105,Very Old Single Harvest Port,Taylor's,1970,4.8,299.99,Porto,Portugal,Touriga Nacional,,,,,
106,Vintage Port,Taylor's,1994,4.7,299.99,Porto,Portugal,Touriga Nacional,,,,,
107,Terrantez Madeira,D'Oliveiras,1971,4.6,299.99,Madeira,Portugal,Verdelho,4.0421886,4.756930400000001,4.728875599999999,,
108,Vintage Port,Cockburn's,1970,4.4,300.0,Porto,Portugal,Touriga Nacional,,,,,
109,Vintage Port,Taylor's,1992,4.7,369.0,Porto,Portugal,Touriga Nacional,,,,,
110,Colheita Port,Messias,1963,4.4,474.99,Porto,Portugal,Touriga Nacional,,,,,
111,Vintage Port,Cockburn's,1963,4.7,567.99,Porto,Portugal,Touriga Nacional,,,,,
112,Vintage Port Nacional,Quinta do Noval,2004,4.7,594.99,Porto,Portugal,Touriga Nacional,,,,,
113,Colheita Port,Kopke,1938,4.5,999.99,Porto,Portugal,Touriga Nacional,,,,,
114,Vintage Port Boa Vista,Offley,1983,4.3,86.5,Porto,Portugal,Touriga Nacional,,,,,
115,Quinta da Eira Velha Single Quinta Vintage Port,Martinez Gassiot,1994,4.2,100.0,Porto,Portugal,Touriga Nacional,,,,,
116,Late Bottled Vintage Port,Churchill's,2000,4.2,89.99,Porto,Portugal,Touriga Nacional,,,,,
117,Vintage Port,Ferreira,1977,4.3,110.0,Porto,Portugal,Touriga Nacional,,,,,
118,Vintage Port,Cockburn's,1960,4.5,295.0,Porto,Portugal,Touriga Nacional,,,,,
119,Late Bottled Vintage Porto,Noble & Murat,2012,4.1,57.99,Porto,Portugal,Touriga Nacional,,,,,
120,Port,Ponte,N.V.,4.2,55.0,South Coast,United States,,,,,,
121,Vintage Port,W. & J. Graham's,1991,4.3,99.99,Porto,Portugal,Touriga Nacional,,,,,
122,Vintage Port,Gould Campbell,1977,4.5,165.0,Porto,Portugal,Touriga Nacional,,,,,
123,Vintage Port,Warre's,1991,4.1,69.99,Porto,Portugal,Touriga Nacional,,,,,
124,30 Year Old Bual Madeira (Medium Rich),Blandy's,N.V.,4.4,141.28,Bual Madeira,Portugal,Verdelho,4.1597957999999995,5.0,4.6330614,,
125,Quinta da Agua Alta Vintage Porto,Churchill's,1995,4.0,109.99,Porto,Portugal,Touriga Nacional,,,,,
126,Sercial Madeira,D'Oliveiras,1937,4.7,460.0,Madeira,Portugal,Verdelho,4.1519723,4.9368334,4.206722,,
127,Vintage Port,Fonseca,1963,4.7,349.0,Porto,Portugal,Touriga Nacional,,,,,
128,Velo Flor,Bodegas Alonso,N.V.,4.1,60.0,Manzanilla,Spain,Palomino,3.4345822,3.8397985,2.4733717,,
129,Port Vintage Quinta Do Cachão,Messias,1984,3.9,101.69,Porto,Portugal,Touriga Nacional,,,,,
130,Colheita Port,Messias,1995,4.1,73.23,Porto,Portugal,Touriga Nacional,,,,,
131,Colheita Porto,Barros,1983,4.4,133.44,Porto,Portugal,Touriga Nacional,,,,,
132,Colheita Port,Messias,1965,4.8,323.99,Porto,Portugal,Touriga Nacional,,,,,
133,Vintage Port,Quinta do Vesuvio,2007,4.4,78.0,Porto,Portugal,Touriga Nacional,,,,,
134,Vintage Port,Quinta do Vesuvio,1990,4.5,89.0,Porto,Portugal,Touriga Nacional,,,,,
135,Dalva Tawny 40 Years Old Port,C. da Silva,N.V.,4.4,131.86,Porto,Portugal,Touriga Nacional,,,,,
136,Vintage Port,Cockburn's,2007,4.5,91.55,Porto,Portugal,Touriga Nacional,,,,,
137,Colheita Port,Kopke,1983,4.4,170.94,Porto,Portugal,Touriga Nacional,,,,,
138,Vintage Port,Quinta do Portal,1999,3.8,70.78,Porto,Portugal,Touriga Nacional,,,,,
139,Single Harvest Tawny Port,W. & J. Graham's,1952,4.7,853.77,Porto,Portugal,Touriga Nacional,,,,,
140,Vintage Port,Delaforce,2011,4.5,57.99,Porto,Portugal,Touriga Nacional,,,,,
141,Colheita Port,Quevedo,1992,4.2,67.18,Porto,Portugal,Touriga Nacional,,,,,
142,Colheita Port,Krohn,1997,4.0,59.99,Porto,Portugal,Touriga Nacional,,,,,
143,Vintage Port,Quinta de La Rosa,2014,4.4,55.58,Porto,Portugal,Touriga Nacional,,,,,
144,Vintage Port,Kopke,2011,4.3,99.99,Porto,Portugal,Touriga Nacional,,,,,
145,Port Tawny Colheita,Quinta do Noval,1986,4.5,222.85,Porto,Portugal,Touriga Nacional,,,,,
146,Colheita Port,Poças,1967,4.5,249.54,Porto,Portugal,Touriga Nacional,,,,,
147,Verdelho Madeira,D'Oliveiras,1986,4.3,155.0,Madeira,Portugal,Verdelho,3.9911415999999997,4.8969830000000005,4.8604894,,
148,Vintage Port,Quinta do Vesuvio,1995,4.4,113.53,Porto,Portugal,Touriga Nacional,,,,,
149,Vintage Port,Dow's,1991,4.4,88.92,Porto,Portugal,Touriga Nacional,,,,,
150,Quinta do Bomfim Vintage Port,Dow's,2005,4.0,55.99,Porto,Portugal,Touriga Nacional,,,,,
151,Vintage Port,Quinta do Crasto,2015,4.1,55.0,Porto,Portugal,Touriga Nacional,,,,,
152,Quinta do Bomfim Vintage Port,Dow's,1992,4.2,85.93,Porto,Portugal,Touriga Nacional,,,,,
153,Quinta da Roeda Vintage Port,Croft,2002,4.1,84.28,Porto,Portugal,Touriga Nacional,,,,,
154,Vintage Port,Fonseca,1992,4.5,95.0,Porto,Portugal,Touriga Nacional,,,,,
155,Corte Vintage Port,Delaforce,1997,4.1,79.99,Porto,Portugal,Touriga Nacional,,,,,
156,Colheita Port,Kopke,1957,4.6,289.99,Porto,Portugal,Touriga Nacional,,,,,
157,Vintage Port,Quinta do Vesuvio,2004,4.3,61.99,Porto,Portugal,Touriga Nacional,,,,,
158,Vintage Port,Quinta do Infantado,1997,4.2,82.45,Porto,Portugal,Touriga Nacional,,,,,
159,Quinta dos Malvedos Vintage Port,W. & J. Graham's,2009,4.2,59.99,Porto,Portugal,Touriga Nacional,,,,,
